RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [51%@345,off,off,3%@2035,16%@2035,30%@2035] EMC_FREQ 0% GR3D_FREQ 1% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@33.5C BCPU@36C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/600 VDD_4V0_WIFI 0/0 VDD_IN 3640/3527 VDD_SYS_CPU 919/923 VDD_SYS_DDR 952/884
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [34%@2035,off,off,13%@2035,50%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 3% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@35C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/600 VDD_4V0_WIFI 0/0 VDD_IN 3717/3533 VDD_SYS_CPU 996/926 VDD_SYS_DDR 971/887
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [72%@2035,off,off,21%@2035,5%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/601 VDD_4V0_WIFI 0/0 VDD_IN 3717/3538 VDD_SYS_CPU 996/928 VDD_SYS_DDR 971/889
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [21%@2035,off,off,53%@2035,20%@2035,5%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@33.5C BCPU@36C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/601 VDD_4V0_WIFI 0/0 VDD_IN 3640/3541 VDD_SYS_CPU 919/927 VDD_SYS_DDR 932/890
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [31%@2035,off,off,32%@2035,31%@2035,7%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/601 VDD_4V0_WIFI 0/0 VDD_IN 3640/3544 VDD_SYS_CPU 996/929 VDD_SYS_DDR 913/891
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [77%@2035,off,off,1%@2035,10%@2035,10%@2035] EMC_FREQ 0% GR3D_FREQ 2% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@33.5C BCPU@36C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/602 VDD_4V0_WIFI 0/0 VDD_IN 3678/3547 VDD_SYS_CPU 1072/933 VDD_SYS_DDR 913/891
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [21%@652,off,off,0%@652,60%@652,19%@652] EMC_FREQ 0% GR3D_FREQ 0% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@34C BCPU@36C thermal@35C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/602 VDD_4V0_WIFI 0/0 VDD_IN 3717/3551 VDD_SYS_CPU 1072/936 VDD_SYS_DDR 894/891
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [0%@2035,off,off,0%@2035,0%@2035,99%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@34C BCPU@36C thermal@35C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/602 VDD_4V0_WIFI 0/0 VDD_IN 3793/3557 VDD_SYS_CPU 1149/942 VDD_SYS_DDR 894/891
RAM 4962/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [0%@2035,off,off,0%@2035,0%@2035,100%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@34C BCPU@36C thermal@35C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/602 VDD_4V0_WIFI 0/0 VDD_IN 3411/3554 VDD_SYS_CPU 919/941 VDD_SYS_DDR 799/889
RAM 4963/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [5%@2035,off,off,87%@2035,0%@2035,8%@2035] EMC_FREQ 0% GR3D_FREQ 16% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@35C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/603 VDD_4V0_WIFI 0/0 VDD_IN 3373/3550 VDD_SYS_CPU 919/941 VDD_SYS_DDR 780/887
